Gene_Name,family,name
MAGI1,['IPR030033'],"['Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1']"
HTT,"['IPR000091', 'IPR028426']","['Huntingtin', 'Huntingtin family']"
SREK1,['IPR033568'],['Splicing regulatory glutamine/lysine-rich protein 1']
MPV17,['IPR033568'],['Splicing regulatory glutamine/lysine-rich protein 1']
FER,"['IPR016250', 'IPR028539']","['Tyrosine-protein kinase, Fes/Fps type', 'Tyrosine-protein kinase Fer']"
IFNGR1,['IPR008355'],['Interferon gamma receptor alpha subunit']
ACIN1,,
ZFAND4,,
HDAC9,['IPR017320'],"['Histone deacetylase class II, eukaryotic']"
FAM131B,['IPR017320'],"['Histone deacetylase class II, eukaryotic']"
AMFR,,
MTMR10,['IPR030573'],['Myotubularin-related protein 10']
WDR91,['IPR039724'],['WD repeat-containing protein 91']
AGO2,['IPR028602'],['Protein argonaute-2']
LRRC10,,
,,
HTR3C,['IPR006201'],['Neurotransmitter-gated ion-channel']
RUFY2,,
TMEM64,['IPR032816'],['SNARE associated Golgi protein']
PANX3,['IPR032816'],['SNARE associated Golgi protein']
FAM133B,['IPR026766'],['Protein FAM133']
PATE1,['IPR026766'],['Protein FAM133']
POMT1,['IPR027005'],['Glycosyltransferase 39-like']
RBMY1B,,
CRISP2,['IPR001283'],['Cysteine-rich  secretory protein-related']
CYP46A1,"['IPR001128', 'IPR002401', 'IPR039983']","['Cytochrome P450', 'Cytochrome P450, E-class, group I', 'Cholesterol 24-hydroxylase']"
GAGE12H,['IPR008625'],['GAGE family']
SPCS1,"['IPR009542', 'IPR037713']","['Signal peptidase complex subunit Spc1/SPCS1', 'Signal peptidase complex subunit Spc1']"
VAV3,,
NCF1C,['IPR001655'],['Neutrophil cytosol factor 1']
TACC3,['IPR039915'],['TACC family']
CFAP20,['IPR040441'],['Cilia- and flagella-associated protein 20/CFAP20DC']
ELF5,,
NRN1L,['IPR026144'],['Neuritin family']
ALDH18A1,"['IPR001057', 'IPR005715', 'IPR005766']","['Glutamate/acetylglutamate kinase', 'Glutamate 5-kinase/delta-1-pyrroline-5-carboxylate synthase', 'Delta l-pyrroline-5-carboxylate synthetase']"
SMPD4,"['IPR001057', 'IPR005715', 'IPR005766']","['Glutamate/acetylglutamate kinase', 'Glutamate 5-kinase/delta-1-pyrroline-5-carboxylate synthase', 'Delta l-pyrroline-5-carboxylate synthetase']"
CWC25,,
RAPSN,,
ZNF326,['IPR007071'],['A-kinase anchoring protein 95 (AKAP95)']
HEATR5A,['IPR040108'],['Laa1/Sip1/HEATR5']
C19orf38,['IPR040438'],['Protein HIDE1']
ACVR2B,['IPR000333'],"['Ser/Thr protein kinase, TGFB receptor']"
EID1,['IPR033258'],['EP300-interacting inhibitor of differentiation']
ITGA11,['IPR000413'],['Integrin alpha chain']
MYH13,,
MYH2,,
ANXA13,"['IPR001464', 'IPR009166']","['Annexin', 'Annexin A13']"
SAR1B,"['IPR006687', 'IPR006689']","['Small GTPase superfamily, SAR1-type', 'Small GTPase superfamily, ARF/SAR type']"
TEX10,,
NUP50,,
EML5,,
AP4B1,"['IPR016342', 'IPR026739']","['AP-1/2/4 complex subunit beta', 'AP complex subunit beta']"
CXCL5,['IPR001089'],['CXC chemokine']
ADAMTS6,['IPR013273'],['ADAMTS/ADAMTS-like']
BAG5,['IPR039773'],['Molecular chaperone regulator BAG']
OR7D2,['IPR000276'],"['G protein-coupled receptor, rhodopsin-like']"
,['IPR000276'],"['G protein-coupled receptor, rhodopsin-like']"
ADAMTS7,['IPR013273'],['ADAMTS/ADAMTS-like']
MADD,['IPR039980'],['MAP kinase-activating death domain protein']
SCN10A,"['IPR001696', 'IPR028809', 'IPR043203']","['Voltage gated sodium channel, alpha subunit', 'Voltage gated sodium channel, alpha-10 subunit', 'Voltage-gated cation channel calcium and sodium']"
ITGB1BP2,['IPR039790'],['CHORD domain containing protein']
SARDH,,
RARRES3,['IPR033210'],['Phospholipase A and acyltransferase 4']
RSAD2,,
ST14,['IPR017051'],"['Peptidase S1A, matripase']"
PEX16,['IPR017051'],"['Peptidase S1A, matripase']"
AGO1,,
TBX21,['IPR001699'],"['Transcription factor, T-box']"
CFAP45,['IPR033253'],['Cilia- and flagella-associated protein 45']
UTS2R,"['IPR000276', 'IPR000670']","['G protein-coupled receptor, rhodopsin-like', 'Urotensin II receptor']"
LYVE1,['IPR043210'],['CD44 antigen-like']
ADGRV1,"['IPR000832', 'IPR026919']","['GPCR, family 2, secretin-like', 'Adhesion G-protein coupled receptor V1']"
S100Z,['IPR028490'],['Protein S100-Z']
PPP1R3B,"['IPR017434', 'IPR030682']","['Protein phosphatase 1 regulatory subunit 3B/C/D, metazoa', 'Protein phosphatase 1 regulatory subunit 3B']"
PGP,"['IPR006349', 'IPR006357']","['2-phosphoglycolate phosphatase, eukaryotic', 'HAD-superfamily hydrolase, subfamily IIA']"
NCAPG2,['IPR024741'],['Condensin-2 complex subunit G2']
AK2,"['IPR006259', 'IPR028587']","['Adenylate kinase subfamily', 'Adenylate kinase 2']"
B4GALT1,['IPR003859'],"['Beta-1,4-galactosyltransferase']"
HEPACAM2,,
HEBP2,['IPR006917'],['SOUL haem-binding protein']
ADAM28,,
FAM86JP,,
FAM171A2,['IPR018890'],['Uncharacterised protein family FAM171']
BACE2,"['IPR001461', 'IPR009119', 'IPR009121']","['Aspartic peptidase A1 family', 'Beta-secretase BACE', 'Beta-secretase BACE2']"
ZSWIM9,"['IPR001461', 'IPR009119', 'IPR009121']","['Aspartic peptidase A1 family', 'Beta-secretase BACE', 'Beta-secretase BACE2']"
RAB22A,['IPR001806'],['Small GTPase']
CRYGN,,
RAB21,"['IPR001806', 'IPR020849', 'IPR041833']","['Small GTPase', 'Small GTPase superfamily, Ras-type', 'Rab21']"
RLN3,['IPR022352'],['Insulin family']
SRSF12,['IPR034477'],['Serine/arginine-rich splicing factor 12']
HCFC2,,
B3GALT1,,
KLK9,['IPR001314'],"['Peptidase S1A, chymotrypsin family']"
PSPC1,,
MOGS,['IPR004888'],['Glycoside hydrolase family 63']
UBIAD1,['IPR000537'],['UbiA prenyltransferase family']
GAS1,['IPR039596'],['Growth arrest-specific protein 1']
TMEM70,['IPR009724'],['TMEM70 family']
DEDD2,['IPR038856'],['Death effector domain-containing protein']
PRRX1,['IPR043378'],['Paired mesoderm homeobox protein 1/2']
ATL1,,
MTHFR,['IPR004621'],['Eukaryotic-type methylenetetrahydrofolate reductase']
OR5H15,['IPR000725'],['Olfactory receptor']
IQCA1,,
MKNK1,,
ADAT1,,
PTPN5,"['IPR008356', 'IPR016334']","['Protein-tyrosine phosphatase, KIM-containing', 'Protein-tyrosine phosphatase, receptor type R/non-receptor type 5']"
ECE1,['IPR029734'],['Endothelin-converting enzyme 1']
TRAPPC2L,['IPR006722'],['Trafficking protein particle complex subunit 2']
KLK13,['IPR001314'],"['Peptidase S1A, chymotrypsin family']"
MPL,,
EIF1,['IPR005874'],['Eukaryotic translation initiation factor SUI1']
KLK12,['IPR001314'],"['Peptidase S1A, chymotrypsin family']"
SV2C,"['IPR005828', 'IPR011701', 'IPR022308']","['Major facilitator,  sugar transporter-like', 'Major facilitator superfamily', 'Synaptic vesicle protein SV2']"
ZNF236,,
ERG28,['IPR005352'],['Erg28']
ATRIP,['IPR033349'],['ATR-interacting protein']
CASKIN2,['IPR027013'],['Caskin-1/2']
MEI4,['IPR025888'],['Meiosis-specific protein MEI4']
ATP1A4,['IPR005775'],"['P-type ATPase subfamily IIC, subunit alpha']"
TSPAN16,"['IPR000301', 'IPR018499']","['Tetraspanin', 'Tetraspanin/Peripherin']"
STON2,"['IPR017110', 'IPR031228']","['Stonin', 'Stonin-2']"
MYL10,,
TXLNA,['IPR026183'],['Taxilin family']
SPINDOC,['IPR026183'],['Taxilin family']
PLK5,,
ZNF346,,
TRIM49B,,
NBPF5P,,
CCT6A,"['IPR002423', 'IPR012722', 'IPR017998']","['Chaperonin Cpn60/TCP-1 family', 'T-complex protein 1, zeta subunit', 'Chaperone tailless complex polypeptide 1 (TCP-1)']"
PNMA2,"['IPR026523', 'IPR026525']","['Paraneoplastic antigen Ma', 'Paraneoplastic antigen Ma2']"
THPO,"['IPR001323', 'IPR003978']","['Erythropoietin/thrombopoietin', 'Thrombopoietin']"
PNMA3,['IPR026529'],['Paraneoplastic antigen Ma3']
SCG3,['IPR026197'],['Secretogranin III']
IKZF2,,
PACSIN3,['IPR028523'],['Protein kinase C and casein kinase substrate in neurons protein 3']
PSME2,['IPR009077'],['Proteasome activator PA28']
GYS2,['IPR008631'],['Glycogen synthase']
RXFP2,['IPR000276'],"['G protein-coupled receptor, rhodopsin-like']"
BLOC1S6,"['IPR017242', 'IPR028119']","['BLOC-1 complex, pallidin subunit', 'Snapin/Pallidin/Snn1']"
ALCAM,['IPR039810'],['CD166 antigen']
TCFL5,['IPR039583'],['Transcription factor-like 5 protein']
SIRT5,"['IPR003000', 'IPR027546']","['Sirtuin family', 'Sirtuin, class III']"
EMP1,"['IPR003932', 'IPR004031']","['Epithelial membrane protein EMP-1', 'PMP-22/EMP/MP20/Claudin superfamily']"
CASKIN1,['IPR027013'],['Caskin-1/2']
TUBA3C,['IPR027013'],['Caskin-1/2']
NRL,"['IPR024874', 'IPR028575']","['Transcription factor Maf family', 'Neural retina-specific leucine zipper protein']"
GEMIN6,['IPR009422'],['Gemin6']
ARSA,,
DHFR2,,
HCN2,['IPR003938'],"['Potassium channel, voltage-dependent, EAG/ELK/ERG']"
BECN2,"['IPR007243', 'IPR032912']","['Atg6/Beclin', 'Beclin-2']"
ARHGEF33,['IPR042849'],['Rho guanine nucleotide exchange factor 33']
FBXO4,['IPR039588'],['F-box only protein 4']
TAOK2,,
FBXO5,,
ZNF575,,
PHF20L1,['IPR043449'],['PHD finger protein 20-like']
TMPRSS11E,['IPR017329'],"['Peptidase S1A, HAT/DESC1']"
CABLES2,,
APCDD1,['IPR042425'],['Protein APCDD1']
SLC12A7,"['IPR000076', 'IPR004842']","['K/Cl co-transporter', 'SLC12A transporter family']"
C1orf35,,
VWA8,['IPR039891'],['von Willebrand factor A domain-containing protein 8']
DPH7,,
RCOR1,,
TNFRSF18,['IPR022318'],['Tumour necrosis factor receptor 18']
FSD1,,
MPC1,,
TMEM43,['IPR012430'],['Transmembrane protein 43 family']
TSSC4,['IPR012430'],['Transmembrane protein 43 family']
HS3ST3B1,['IPR037359'],['Heparan sulfate sulfotransferase']
HS3ST4,,
GJD2,['IPR000500'],['Connexin']
TMEM243,['IPR022564'],['Protein of unknown function DUF2678']
KPTN,['IPR029982'],['Kaptin']
INSIG2,['IPR025929'],['Insulin-induced protein family']
CASP8AP2,['IPR039674'],['CASP8-associated protein 2']
OR52A1,['IPR000725'],['Olfactory receptor']
HS3ST3A1,['IPR037359'],['Heparan sulfate sulfotransferase']
IL1F10,"['IPR000975', 'IPR003297', 'IPR027164']","['Interleukin-1 family', 'Interleukin-1 receptor antagonist/Interleukin-36', 'Interleukin-1 family member 10']"
PCTP,,
HPF1,['IPR019361'],['Histone PARylation factor 1']
IER3IP1,['IPR019361'],['Histone PARylation factor 1']
TRMO,['IPR040372'],['YaeB-like']
LIPH,"['IPR000734', 'IPR016272']","['Triacylglycerol lipase family', 'Lipase, LIPH-type']"
OR2A7,"['IPR000276', 'IPR000725']","['G protein-coupled receptor, rhodopsin-like', 'Olfactory receptor']"
GOLGA6C,"['IPR000276', 'IPR000725']","['G protein-coupled receptor, rhodopsin-like', 'Olfactory receptor']"
OR2A14,['IPR000725'],['Olfactory receptor']
MBD3L1,,
FAM104B,['IPR029222'],['Protein FAM104']
WFDC12,,
PSKH2,,
TSPAN32,['IPR018499'],['Tetraspanin/Peripherin']
OTP,,
ARX,,
PRPF31,['IPR027105'],['U4/U6 small nuclear ribonucleoprotein Prp31']
PXDNL,"['IPR019791', 'IPR029610']","['Haem peroxidase, animal-type', 'Peroxidasin-like protein']"
ZNF706,,
PDHA2,['IPR017597'],"['Pyruvate dehydrogenase (acetyl-transferring) E1 component, alpha subunit, subgroup y']"
OR2A5,,
PI4K2A,['IPR039756'],['Type II phosphatidylinositol 4-kinase Lsb6/PI4K2']
MRPS18B,"['IPR001648', 'IPR040054']","['Ribosomal protein S18', '28S ribosomal protein S18b, mitochondrial']"
CENPO,['IPR018464'],['Centromere protein O']
AUP1,,
ZNF227,,
COPG1,['IPR017106'],['Coatomer gamma subunit']
ALG5,,
MAGED1,,
ALG6,"['IPR004856', 'IPR039488']","['Glycosyl transferase, ALG6/ALG8', 'Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase']"
PRR15L,['IPR028237'],['Proline-rich protein 15']
SNURF,['IPR009847'],['SNURF family']
MTRNR2L13,['IPR028139'],['Humanin family']
RALY,['IPR017347'],['Heterogeneous nuclear ribonucleoprotein C']
IRAK4,['IPR017428'],['Interleukin-1 receptor-associated kinase 4']
MAN1B1,['IPR001382'],['Glycoside hydrolase family 47']
UCKL1,"['IPR000764', 'IPR029933']","['Uridine kinase-like', 'Uridine-cytidine kinase-like 1']"
NDUFAF3,"['IPR007523', 'IPR034095']","['NDUFAF3/Mth938 domain-containing protein', 'NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3']"
GEMIN8,"['IPR007523', 'IPR034095']","['NDUFAF3/Mth938 domain-containing protein', 'NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3']"
ALG10,"['IPR007523', 'IPR034095']","['NDUFAF3/Mth938 domain-containing protein', 'NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3']"
SLC5A11,['IPR001734'],['Sodium/solute symporter']
AKAP9,['IPR028745'],['A-kinase anchor protein 9/Pericentrin']
PALLD,['IPR043204'],['Basigin-like']
OR2V2,['IPR000276'],"['G protein-coupled receptor, rhodopsin-like']"
NLRP7,,
ZBED9,,
NELFB,['IPR010405'],['Cofactor of BRCA1']
SCGB3A1,['IPR040301'],['Secretoglobin 3A']
FKBP7,,
PURB,['IPR030499'],['Purine-rich element-binding protein beta']
GAL3ST1,,
SELENOM,['IPR039992'],['Selenoprotein F/M']
METTL21EP,['IPR019410'],['Lysine methyltransferase']
BTNL10,,
OR6C68,['IPR000276'],"['G protein-coupled receptor, rhodopsin-like']"
SNX13,,
SNX14,,
MED10,['IPR019145'],"['Mediator complex, subunit Med10']"
LAIR1,,
MUC12,,
SPATS1,['IPR029165'],['Spermatogenesis-associated serine-rich protein 1']
SNX11,"['IPR028655', 'IPR043544']","['Sorting nexin-11', 'Sorting nexin-10/11']"
ARL5A,['IPR006689'],"['Small GTPase superfamily, ARF/SAR type']"
MYO15A,['IPR035487'],['Unconventional myosin-XV']
KLF2,,
PRDM4,['IPR017124'],['PR-domain zinc finger protein PRDM4']
LRRC1,,
CD109,,
WIF1,['IPR013309'],['Wnt inhibitory factor (WIF)-1']
ASB5,['IPR013309'],['Wnt inhibitory factor (WIF)-1']
VGLL1,['IPR011520'],['Vestigial familiy']
GTF3C4,,
ANP32E,,
VRK1,,
SEMA3C,['IPR027231'],['Semaphorin']
FMO1,"['IPR000960', 'IPR002253', 'IPR020946']","['Flavin monooxygenase FMO', 'Flavin monooxygenase (FMO) 1', 'Flavin monooxygenase-like']"
OMD,['IPR030705'],['Osteomodulin']
RASSF5,"['IPR033614', 'IPR033623']","['C-terminal RASSF family', 'Ras association domain-containing protein 5']"
KCNMB2,['IPR003930'],"['Potassium channel, calcium-activated, BK, beta subunit']"
SNX9,"['IPR014536', 'IPR028644']","['Sorting nexin 9 family', 'Sorting nexin-9']"
HEATR4,,
SNX10,['IPR043544'],['Sorting nexin-10/11']
LHFPL6,['IPR019372'],['Lipoma HMGIC fusion partner-like protein']
SNX5,"['IPR014637', 'IPR028654']","['Sorting nexin-5/6/32', 'Sorting nexin-5']"
GMEB1,['IPR024830'],['Glucocorticoid modulatory element-binding protein 1/2']
C19orf70,['IPR024830'],['Glucocorticoid modulatory element-binding protein 1/2']
SNX8,,
OR2M4,['IPR000276'],"['G protein-coupled receptor, rhodopsin-like']"
GAB3,,
GDF15,['IPR015615'],['Transforming growth factor-beta-related']
OR2M2,"['IPR000276', 'IPR000725']","['G protein-coupled receptor, rhodopsin-like', 'Olfactory receptor']"
LIPG,"['IPR000734', 'IPR002330', 'IPR016272']","['Triacylglycerol lipase family', 'Lipoprotein lipase', 'Lipase, LIPH-type']"
CACNG2,"['IPR004031', 'IPR005422', 'IPR008368']","['PMP-22/EMP/MP20/Claudin superfamily', 'Voltage-dependent calcium channel, gamma-2 subunit', 'Voltage-dependent calcium channel, gamma subunit']"
INTS6,,
CIR1,,
DSE,,
NPFFR2,['IPR005397'],"['Neuropeptide FF receptor, type 2']"
RPS19BP1,['IPR023262'],['Active regulator of SIRT1']
SLC22A7,"['IPR004749', 'IPR011701']","['Organic cation transport protein/SVOP', 'Major facilitator superfamily']"
NR2E3,['IPR001723'],['Nuclear hormone receptor']
NFS1,"['IPR010240', 'IPR016454']","['Cysteine desulfurase IscS', 'Cysteine desulfurase']"
CLIC4,"['IPR002946', 'IPR040079']","['Intracellular chloride channel', 'Glutathione Transferase family']"
GALC,['IPR001286'],"['Glycoside hydrolase, family 59']"
CHRDL1,,
NAGLU,['IPR007781'],['Alpha-N-acetylglucosaminidase']
ALPK1,['IPR043529'],['Alpha-protein kinase 1']
FCAMR,,
RTN4IP1,['IPR037397'],['Reticulon-4-interacting protein 1']
TEP1,,
CTPS1,['IPR004468'],['CTP synthase']
ENG,,
GTF2B,['IPR000812'],['Transcription factor TFIIB']
MYOC,['IPR031213'],['Myocilin']
NUBP2,"['IPR028600', 'IPR033756']","['Cytosolic Fe-S cluster assembly factor NUBP2/Cfd1, eukaryotes', 'Flagellum site-determining protein YlxH/ Fe-S cluster assembling factor NBP35']"
GOLGA6B,['IPR024858'],['Golgin subfamily A']
PTGDR2,['IPR000276'],"['G protein-coupled receptor, rhodopsin-like']"
GPR45,['IPR000276'],"['G protein-coupled receptor, rhodopsin-like']"
,,
IGFBPL1,['IPR011390'],"['Insulin-like growth factor binding protein-related protein (IGFBP-rP), MAC25']"
FLVCR1,,
PRM2,['IPR000492'],['Protamine-2']
F11R,['IPR042456'],['Junctional adhesion molecule A']
MYH4,,
MAFB,"['IPR024874', 'IPR028571']","['Transcription factor Maf family', 'Transcription factor MafB']"
FAM186A,['IPR039332'],['Protein FAM186A/FAM186B']
BTBD17,,
FADS3,['IPR012171'],['Fatty acid desaturase']
RAD54B,,
GTF3C3,,
DHRS4,"['IPR002347', 'IPR029511']","['Short-chain dehydrogenase/reductase SDR', 'Dehydrogenase/reductase SDR member 4-like']"
ERVK-9,,
INSL5,,
TMEM161A,['IPR019395'],['Transmembrane protein 161A/B']
GPC6,"['IPR001863', 'IPR031183']","['Glypican', 'Glypican-6']"
OXSM,"['IPR000794', 'IPR017568']","['Beta-ketoacyl synthase', '3-oxoacyl-[acyl-carrier-protein] synthase 2']"
CORIN,,
GTF3C5,,
IMPAD1,,
GID8,,
CHCHD3,,
MRPL22,"['IPR001063', 'IPR005727']","['Ribosomal protein L22/L17', 'Ribosomal protein L22, bacterial/chloroplast-type']"
ZSCAN32,,
C2orf76,['IPR018794'],['Uncharacterised protein family UPF0538']
OR1F2P,['IPR000725'],['Olfactory receptor']
LRRD1,,
MC1R,"['IPR000276', 'IPR000761', 'IPR001671']","['G protein-coupled receptor, rhodopsin-like', 'Melanocyte-stimulating hormone receptor', 'Melanocortin/ACTH receptor']"
METTL23,['IPR019410'],['Lysine methyltransferase']
NPIPA3,['IPR009443'],['Nuclear pore complex interacting protein']
MMP24,"['IPR021190', 'IPR028723']","['Peptidase M10A', 'Matrix metalloproteinase-24']"
DMRT2,['IPR026607'],['DMRT/protein doublesex/protein male abnormal 3']
HEMK1,"['IPR002295', 'IPR004556', 'IPR019874']","['N6 adenine-specific DNA methyltransferase, D21 class', 'Methyltransferase HemK-like', 'Protein-(glutamine-N5) methyltransferase, release factor-specific']"
HGH1,['IPR039717'],['Protein Hgh1']
CDC42EP3,['IPR029273'],['Cdc42 effector']
ALDH1B1,,
FUCA2,"['IPR000933', 'IPR016286']","['Glycoside hydrolase, family 29', 'Alpha-L-fucosidase, metazoa-type']"
C19orf54,"['IPR000933', 'IPR016286']","['Glycoside hydrolase, family 29', 'Alpha-L-fucosidase, metazoa-type']"
SLC45A4,,
ZNF804B,,
VPREB3,,
MED29,['IPR021018'],"['Mediator complex, subunit Med29, metazoa']"
DMRT1,"['IPR022114', 'IPR026607']","['Doublesex- and mab-3-related transcription factor  1-like', 'DMRT/protein doublesex/protein male abnormal 3']"
POU2F3,['IPR000972'],['Octamer-binding transcription factor']
TLK1,,
NPTN,"['IPR027112', 'IPR043204']","['Neuroplastin/Basigin', 'Basigin-like']"
C1orf123,['IPR008584'],"['CXXC motif containing zinc binding protein, eukaryotic']"
TRAPPC1,['IPR007233'],['Trafficking protein particle complex subunit']
DUS2,['IPR001269'],['tRNA-dihydrouridine synthase']
CAVIN4,"['IPR026752', 'IPR033299']","['Cavin family', 'Caveolae-associated protein 4']"
CMTM6,,
ERVK13-1,,
TMEM260,['IPR021280'],['Protein of unknown function DUF2723']
GTPBP10,['IPR035101'],"['GTP-binding protein, Obg-type']"
BABAM1,['IPR026126'],['BRISC and BRCA1-A complex member 1']
HIST1H2AA,['IPR002119'],['Histone H2A']
MC2R,"['IPR000276', 'IPR001168', 'IPR001671']","['G protein-coupled receptor, rhodopsin-like', 'Adrenocorticotrophin (ACTH) receptor', 'Melanocortin/ACTH receptor']"
ALDH3A1,['IPR012394'],['Aldehyde dehydrogenase NAD(P)-dependent']
MYADML2,,
RFNG,"['IPR003378', 'IPR017374']","['Fringe-like', 'Fringe']"
TTPAL,,
CPQ,['IPR039866'],['Carboxypeptidase Q']
FAM90A18P,['IPR039213'],['FAM90']
GPATCH8,,
CDC42BPB,['IPR033232'],['Serine/threonine-protein kinase MRCK beta']
PILRA,,
PILRB,,
PCSK2,['IPR015500'],"['Peptidase S8, subtilisin-related']"
TRPV2,"['IPR024862', 'IPR024865']","['Transient receptor potential cation channel subfamily V', 'Transient receptor potential channel, vanilloid 2']"
SLC7A1,['IPR004755'],['Cationic amino acid transport permease']
NDC1,['IPR019049'],['Nucleoporin protein Ndc1-Nup']
CHIC2,['IPR039735'],['Cysteine-rich hydrophobic domain-containing protein 1/2']
HCFC1R1,['IPR029195'],['Host cell factor C1 regulator 1']
OR4K3,"['IPR000276', 'IPR000725']","['G protein-coupled receptor, rhodopsin-like', 'Olfactory receptor']"
HHIP,,
NOX1,['IPR000778'],"['Cytochrome b245, heavy chain']"
TMEM208,['IPR008506'],['SRP-independent targeting protein 2/TMEM208']
ADAM21,,
CLN6,['IPR029255'],['Ceroid-lipofuscinosis neuronal protein 6']
RBM8A,['IPR008111'],['RNA-binding motif protein 8']
OR4C12,"['IPR000276', 'IPR000725']","['G protein-coupled receptor, rhodopsin-like', 'Olfactory receptor']"
NMRK1,,
C2orf42,['IPR026049'],['Uncharacterised protein C2orf42']
ACCS,,
GNB3,['IPR016346'],"['Guanine nucleotide-binding protein, beta subunit']"
NWD1,['IPR043365'],['NACHT domain- and WD repeat-containing protein 1']
DDX5,,
OR4F4,"['IPR000276', 'IPR000725']","['G protein-coupled receptor, rhodopsin-like', 'Olfactory receptor']"
HRASLS2,,
XPO6,['IPR040016'],['Exportin-6']
OXLD1,['IPR039251'],['Oxidoreductase-like domain-containing protein 1']
FRG2B,['IPR039251'],['Oxidoreductase-like domain-containing protein 1']
USP16,['IPR030849'],['Ubiquitin carboxyl-terminal hydrolase 16']
DNAJC15,,
SPIN1,"['IPR003671', 'IPR029565']","['Spindlin/spermiogenesis-specific protein', 'Spindlin-1']"
SOX21,['IPR022097'],['Transcription factor SOX']
PARP4,['IPR031273'],['Protein mono-ADP-ribosyltransferase PARP4']
ADGRG1,"['IPR000832', 'IPR003910']","['GPCR, family 2, secretin-like', 'GPCR, family 2, orphan receptor, GPR1/GPR3/GPR5']"
DOHH,['IPR027517'],['Deoxyhypusine hydroxylase']
TBCD,['IPR033162'],['Tubulin-folding cofactor D']
MEIS3P1,,
NXT1,,
PCDH15,['IPR030718'],['Protocadherin-15']
ALKBH6,['IPR032862'],['Alpha-ketoglutarate-dependent dioxygenase alkB homologue 6']
SHPRH,,
WBP1L,,
XBP1,,
ASB6,,
SYBU,"['IPR026198', 'IPR028197']","['Syntabulin', 'Syntaphilin/Syntabulin']"
THG1L,['IPR007537'],['tRNAHis guanylyltransferase Thg1']
NUDT5,,
PHF12,['IPR042163'],['PHD finger protein 12']
