Gene_Name,domains,name
HTR3C,"['IPR006029', 'IPR006202']","['Neurotransmitter-gated ion-channel transmembrane domain', 'Neurotransmitter-gated ion-channel ligand-binding domain']"
RUFY2,"['IPR000306', 'IPR004012', 'IPR017455']","['FYVE zinc finger', 'RUN domain', 'Zinc finger, FYVE-related']"
TMEM64,,
PANX3,,
FAM133B,,
PATE1,,
POMT1,"['IPR016093', 'IPR032421']","['MIR motif', 'Protein O-mannosyl-transferase, C-terminal four TM domain']"
RBMY1B,['IPR000504'],['RNA recognition motif domain']
CRISP2,"['IPR003582', 'IPR013871', 'IPR014044', 'IPR034117']","['ShKT domain', 'Cysteine-rich secretory protein', 'CAP domain', 'Cysteine-rich secretory protein, SCP domain']"
CYP46A1,,
GAGE12H,['IPR031320'],['GAGE']
SPCS1,,
VAV3,"['IPR000980', 'IPR001452', 'IPR001715', 'IPR001849', 'IPR002219', 'IPR022613', 'IPR035734', 'IPR035881', 'IPR037832']","['SH2 domain', 'SH3 domain', 'Calponin homology domain', 'Pleckstrin homology domain', 'Protein kinase C-like, phorbol ester/diacylglycerol-binding domain', 'Calmodulin-regulated spectrin-associated protein, CH domain', 'VAV3 protein, second SH3 domain', 'VAV3, SH2 domain', 'Vav, PH domain']"
NCF1C,"['IPR001452', 'IPR001683', 'IPR015039', 'IPR032136', 'IPR035756']","['SH3 domain', 'Phox homologous domain', 'NADPH oxidase subunit p47Phox, C-terminal', 'Neutrophil cytosol factor 1, C-terminal', 'Neutrophil cytosol factor 1, first SH3 domain']"
TACC3,['IPR007707'],"['Transforming acidic coiled-coil-containing protein, C-terminal']"
CFAP20,['IPR007714'],['CFA20 domain']
ELF5,"['IPR000418', 'IPR003118']","['Ets domain', 'Pointed domain']"
NRN1L,,
ALDH18A1,"['IPR000965', 'IPR015590', 'IPR041744']","['GPR domain', 'Aldehyde dehydrogenase domain', 'Bifunctional delta 1-pyrroline-5-carboxylate synthetase, glutamate-5-kinase domain']"
SMPD4,"['IPR000965', 'IPR015590', 'IPR041744']","['GPR domain', 'Aldehyde dehydrogenase domain', 'Bifunctional delta 1-pyrroline-5-carboxylate synthetase, glutamate-5-kinase domain']"
CWC25,['IPR019339'],"['CBF1-interacting co-repressor CIR, N-terminal domain']"
RAPSN,['IPR013026'],['Tetratricopeptide repeat-containing domain']
ZNF326,['IPR034736'],['Zinc finger C2H2 AKAP95-type']
HEATR5A,,
C19orf38,['IPR041066'],"['C19orf38, Ig domain']"
ACVR2B,"['IPR000472', 'IPR000719']","['Activin types I and II receptor domain', 'Protein kinase domain']"
EID1,,
ITGA11,"['IPR002035', 'IPR013649']","['von Willebrand factor, type A', 'Integrin alpha-2']"
MYH13,"['IPR002928', 'IPR042702']","['Myosin tail', 'Myosin-13, motor domain']"
MYH2,"['IPR001609', 'IPR002928', 'IPR004009']","['Myosin head, motor domain', 'Myosin tail', 'Myosin, N-terminal, SH3-like']"
ANXA13,,
SAR1B,['IPR005225'],['Small GTP-binding protein domain']
TEX10,,
NUP50,"['IPR000156', 'IPR015007']","['Ran binding domain', 'Nuclear pore complex, NUP2/50/61']"
EML5,"['IPR017986', 'IPR024977']","['WD40-repeat-containing domain', 'Anaphase-promoting complex subunit 4, WD40 domain']"
AP4B1,"['IPR002553', 'IPR015151']","['Clathrin/coatomer adaptor, adaptin-like, N-terminal', 'Beta-adaptin appendage, C-terminal subdomain']"
CXCL5,"['IPR001811', 'IPR033899']","['Chemokine interleukin-8-like domain', 'CXC Chemokine domain']"
ADAMTS6,"['IPR001590', 'IPR002870', 'IPR010294', 'IPR010909', 'IPR041645']","['Peptidase M12B, ADAM/reprolysin', 'Peptidase M12B, propeptide', 'ADAM-TS Spacer 1', 'PLAC', 'ADAM cysteine-rich domain 2']"
BAG5,['IPR003103'],['BAG domain']
OR7D2,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
ADAMTS7,"['IPR001590', 'IPR002870', 'IPR010294', 'IPR010909', 'IPR041645']","['Peptidase M12B, ADAM/reprolysin', 'Peptidase M12B, propeptide', 'ADAM-TS Spacer 1', 'PLAC', 'ADAM cysteine-rich domain 2']"
MADD,"['IPR001194', 'IPR005112']","['cDENN domain', 'dDENN domain']"
SCN10A,['IPR010526'],['Sodium ion transport-associated']
ITGB1BP2,['IPR007051'],['CHORD domain']
SARDH,"['IPR006076', 'IPR013977', 'IPR032503']","['FAD dependent oxidoreductase', 'Glycine cleavage T-protein, C-terminal barrel domain', 'FAD dependent oxidoreductase, central domain']"
RARRES3,['IPR007053'],['LRAT domain']
RSAD2,"['IPR006638', 'IPR007197']","['Elp3/MiaB/NifB', 'Radical SAM']"
ST14,"['IPR000082', 'IPR001254']","['SEA domain', 'Serine proteases, trypsin domain']"
PEX16,"['IPR000082', 'IPR001254']","['SEA domain', 'Serine proteases, trypsin domain']"
AGO1,"['IPR003100', 'IPR003165', 'IPR014811', 'IPR032472', 'IPR032473', 'IPR032474']","['PAZ domain', 'Piwi domain', 'Argonaute, linker 1 domain', 'Argonaute linker 2 domain', 'Protein argonaute, Mid domain', 'Protein argonaute, N-terminal']"
TBX21,,
CFAP45,,
UTS2R,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
LYVE1,['IPR000538'],['Link domain']
ADGRV1,"['IPR000203', 'IPR003644', 'IPR017981']","['GPS motif', 'Na-Ca exchanger/integrin-beta4', 'GPCR, family 2-like']"
S100Z,"['IPR002048', 'IPR013787']","['EF-hand domain', 'S100/CaBP-9k-type, calcium binding, subdomain']"
PPP1R3B,['IPR005036'],['CBM21 (carbohydrate binding type-21) domain']
PGP,,
NCAPG2,,
AK2,['IPR007862'],"['Adenylate kinase, active site lid domain']"
B4GALT1,"['IPR027791', 'IPR027995']","['Galactosyltransferase, C-terminal', 'Galactosyltransferase, N-terminal']"
HEPACAM2,"['IPR003598', 'IPR003599', 'IPR007110']","['Immunoglobulin subtype 2', 'Immunoglobulin subtype', 'Immunoglobulin-like domain']"
HEBP2,,
ADAM28,"['IPR000742', 'IPR001590', 'IPR001762', 'IPR002870', 'IPR006586', 'IPR034027']","['EGF-like domain', 'Peptidase M12B, ADAM/reprolysin', 'Disintegrin domain', 'Peptidase M12B, propeptide', 'ADAM, cysteine-rich domain', 'Reprolysin domain, adamalysin-type']"
FAM86JP,"['IPR000742', 'IPR001590', 'IPR001762', 'IPR002870', 'IPR006586', 'IPR034027']","['EGF-like domain', 'Peptidase M12B, ADAM/reprolysin', 'Disintegrin domain', 'Peptidase M12B, propeptide', 'ADAM, cysteine-rich domain', 'Reprolysin domain, adamalysin-type']"
FAM171A2,,
BACE2,"['IPR033121', 'IPR033874']","['Peptidase family A1 domain', 'Memapsin-like']"
ZSWIM9,"['IPR033121', 'IPR033874']","['Peptidase family A1 domain', 'Memapsin-like']"
RAB22A,['IPR005225'],['Small GTP-binding protein domain']
CRYGN,['IPR001064'],['Beta/gamma crystallin']
RAB21,['IPR005225'],['Small GTP-binding protein domain']
RLN3,['IPR016179'],['Insulin-like']
SRSF12,['IPR000504'],['RNA recognition motif domain']
HCFC2,['IPR003961'],['Fibronectin type III']
B3GALT1,,
KLK9,['IPR001254'],"['Serine proteases, trypsin domain']"
PSPC1,"['IPR000504', 'IPR012975', 'IPR034522', 'IPR034523']","['RNA recognition motif domain', 'NOPS', 'PSP1, RNA recognition motif 1', 'PSP1, RNA recognition motif 2']"
MOGS,"['IPR031335', 'IPR031631']","['Glycosyl hydrolase family 63, C-terminal', 'Glycosyl hydrolase family 63, N-terminal']"
UBIAD1,,
GAS1,['IPR016017'],['GDNF/GAS1']
TMEM70,,
DEDD2,['IPR001875'],['Death effector domain']
PRRX1,['IPR001356'],['Homeobox domain']
ATL1,"['IPR015894', 'IPR030386']","['Guanylate-binding protein, N-terminal', 'GB1/RHD3-type guanine nucleotide-binding (G) domain']"
MTHFR,,
OR5H15,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
IQCA1,,
MKNK1,['IPR000719'],['Protein kinase domain']
ADAT1,['IPR002466'],['Adenosine deaminase/editase']
PTPN5,"['IPR000242', 'IPR000387', 'IPR003595']","['PTP type protein phosphatase', 'Tyrosine specific protein phosphatases domain', 'Protein-tyrosine phosphatase, catalytic']"
ECE1,"['IPR008753', 'IPR018497']","['Peptidase M13, N-terminal domain', 'Peptidase M13, C-terminal domain']"
TRAPPC2L,,
KLK13,['IPR001254'],"['Serine proteases, trypsin domain']"
MPL,"['IPR003961', 'IPR015152']","['Fibronectin type III', 'Growth hormone/erythropoietin receptor, ligand binding']"
EIF1,['IPR001950'],['SUI1 domain']
KLK12,['IPR001254'],"['Serine proteases, trypsin domain']"
SV2C,['IPR020846'],['Major facilitator superfamily domain']
ZNF236,['IPR013087'],['Zinc finger C2H2-type']
ERG28,,
ATRIP,,
CASKIN2,"['IPR001660', 'IPR020683', 'IPR032117', 'IPR035497', 'IPR035498', 'IPR035499']","['Sterile alpha motif domain', 'Ankyrin repeat-containing domain', 'Caskin, C-terminal', 'Caskin1/2, SAM repeat 1', 'Caskin1/2, SAM repeat 2', 'Caskin2, SH3 domain']"
MEI4,,
ATP1A4,,
TSPAN16,,
STON2,"['IPR012320', 'IPR022699', 'IPR028565']","['Stonin homology', 'Stonin-2, N-terminal', 'Mu homology domain']"
MYL10,['IPR002048'],['EF-hand domain']
TXLNA,,
SPINDOC,,
PLK5,['IPR000719'],['Protein kinase domain']
ZNF346,"['IPR003604', 'IPR013087']","['Matrin/U1-C-like, C2H2-type zinc finger', 'Zinc finger C2H2-type']"
TRIM49B,"['IPR000315', 'IPR001870', 'IPR003877', 'IPR003879']","['B-box-type zinc finger', 'B30.2/SPRY domain', 'SPRY domain', 'Butyrophylin-like, SPRY domain']"
NBPF5P,"['IPR000315', 'IPR001870', 'IPR003877', 'IPR003879']","['B-box-type zinc finger', 'B30.2/SPRY domain', 'SPRY domain', 'Butyrophylin-like, SPRY domain']"
CCT6A,,
PNMA2,,
THPO,,
PNMA3,,
SCG3,,
IKZF2,['IPR013087'],['Zinc finger C2H2-type']
PACSIN3,,
PSME2,"['IPR003185', 'IPR003186']","['Proteasome activator PA28, N-terminal domain', 'Proteasome activator PA28, C-terminal domain']"
GYS2,,
RXFP2,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
BLOC1S6,,
ALCAM,"['IPR003598', 'IPR003599', 'IPR007110', 'IPR013106', 'IPR013162']","['Immunoglobulin subtype 2', 'Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin V-set domain', 'CD80-like, immunoglobulin C2-set']"
TCFL5,,
SIRT5,['IPR026590'],"['Sirtuin family, catalytic core domain']"
EMP1,,
CASKIN1,"['IPR001452', 'IPR001660', 'IPR020683', 'IPR035495', 'IPR035497', 'IPR035498']","['SH3 domain', 'Sterile alpha motif domain', 'Ankyrin repeat-containing domain', 'Caskin-1, SH3 domain', 'Caskin1/2, SAM repeat 1', 'Caskin1/2, SAM repeat 2']"
TUBA3C,"['IPR001452', 'IPR001660', 'IPR020683', 'IPR035495', 'IPR035497', 'IPR035498']","['SH3 domain', 'Sterile alpha motif domain', 'Ankyrin repeat-containing domain', 'Caskin-1, SH3 domain', 'Caskin1/2, SAM repeat 1', 'Caskin1/2, SAM repeat 2']"
NRL,"['IPR004827', 'IPR013592']","['Basic-leucine zipper domain', 'Maf transcription factor, N-terminal']"
GEMIN6,,
ARSA,['IPR000917'],"['Sulfatase, N-terminal']"
DHFR2,,
HCN2,"['IPR000595', 'IPR005821', 'IPR013621']","['Cyclic nucleotide-binding domain', 'Ion transport domain', 'Ion transport N-terminal']"
BECN2,"['IPR040455', 'IPR041691']","['Atg6, BARA domain', 'Atg6/beclin, coiled-coil domain']"
ARHGEF33,,
FBXO4,['IPR001810'],['F-box domain']
TAOK2,['IPR000719'],['Protein kinase domain']
FBXO5,['IPR001810'],['F-box domain']
ZNF575,['IPR013087'],['Zinc finger C2H2-type']
PHF20L1,"['IPR002999', 'IPR014002', 'IPR022255', 'IPR040477']","['Tudor domain', 'Agenet domain, plant type', 'Domain of unknown function DUF3776', 'Lysine-specific demethylase 4, Tudor domain']"
TMPRSS11E,,
CABLES2,['IPR006671'],"['Cyclin, N-terminal']"
APCDD1,['IPR029405'],['APCDD1 domain']
SLC12A7,"['IPR004841', 'IPR018491']","['Amino acid permease/ SLC12A domain', 'SLC12A transporter, C-terminal']"
C1orf35,['IPR019315'],"['Multiple myeloma tumor-associated protein 2-like, N-terminal']"
VWA8,['IPR002035'],"['von Willebrand factor, type A']"
DPH7,['IPR017986'],['WD40-repeat-containing domain']
RCOR1,"['IPR000949', 'IPR001005', 'IPR017884']","['ELM2 domain', 'SANT/Myb domain', 'SANT domain']"
TNFRSF18,"['IPR001368', 'IPR034018']","['TNFR/NGFR cysteine-rich region', 'Tumour necrosis factor receptor 18, N-terminal']"
FSD1,"['IPR003649', 'IPR003877', 'IPR017903']","['B-box, C-terminal', 'SPRY domain', 'COS domain']"
MPC1,"['IPR003649', 'IPR003877', 'IPR017903']","['B-box, C-terminal', 'SPRY domain', 'COS domain']"
TMEM43,,
TSSC4,,
HS3ST3B1,['IPR000863'],['Sulfotransferase domain']
HS3ST4,['IPR000863'],['Sulfotransferase domain']
GJD2,['IPR019570'],"['Gap junction protein, cysteine-rich domain']"
TMEM243,,
KPTN,,
INSIG2,,
CASP8AP2,,
OR52A1,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
HS3ST3A1,['IPR000863'],['Sulfotransferase domain']
IL1F10,,
PCTP,"['IPR002913', 'IPR041950']","['START domain', 'STARD2, START domain']"
HPF1,,
IER3IP1,,
TRMO,['IPR023370'],"['TrmO-like, N-terminal domain']"
LIPH,"['IPR013818', 'IPR033906']","['Lipase/vitellogenin', 'Lipase, N-terminal']"
OR2A7,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
GOLGA6C,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
OR2A14,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
MBD3L1,"['IPR025884', 'IPR032343']","['Methyl-CpG binding protein 2/3, C-terminal domain', 'Methyl-CpG-binding domain protein 2/3, p55-binding region']"
FAM104B,,
WFDC12,['IPR008197'],"[""WAP-type 'four-disulfide core' domain""]"
PSKH2,['IPR000719'],['Protein kinase domain']
TSPAN32,,
OTP,"['IPR001356', 'IPR003654']","['Homeobox domain', 'OAR domain']"
ARX,"['IPR001356', 'IPR003654']","['Homeobox domain', 'OAR domain']"
PRPF31,"['IPR002687', 'IPR012976', 'IPR019175']","['Nop domain', 'NOSIC', 'Prp31 C-terminal']"
PXDNL,"['IPR000483', 'IPR001007', 'IPR003598', 'IPR003599', 'IPR007110', 'IPR013098', 'IPR034824']","['Cysteine-rich flanking region, C-terminal', 'VWFC domain', 'Immunoglobulin subtype 2', 'Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin I-set', 'Peroxidasin, peroxidase domain']"
ZNF706,,
PDHA2,['IPR001017'],"['Dehydrogenase, E1 component']"
OR2A5,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
PI4K2A,['IPR000403'],"['Phosphatidylinositol 3-/4-kinase, catalytic domain']"
MRPS18B,,
CENPO,,
AUP1,['IPR003892'],['Ubiquitin system component CUE']
ZNF227,['IPR001909'],['Krueppel-associated box']
COPG1,"['IPR013040', 'IPR032154']","['Coatomer, gamma subunit, appendage, Ig-like subdomain', 'Coatomer subunit gamma, C-terminal']"
ALG5,['IPR001173'],['Glycosyltransferase 2-like']
MAGED1,['IPR002190'],['MAGE homology domain']
ALG6,,
PRR15L,,
SNURF,,
MTRNR2L13,,
RALY,"['IPR000504', 'IPR034502']","['RNA recognition motif domain', 'Raly, RNA recognition motif']"
IRAK4,"['IPR000719', 'IPR001245', 'IPR037970']","['Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'IRAK4, Death domain']"
MAN1B1,,
UCKL1,['IPR000836'],['Phosphoribosyltransferase domain']
NDUFAF3,,
GEMIN8,,
ALG10,,
SLC5A11,,
AKAP9,"['IPR005539', 'IPR019528']","['ELK domain', 'Pericentrin/AKAP-450 centrosomal targeting domain']"
PALLD,"['IPR003598', 'IPR003599', 'IPR007110', 'IPR013098']","['Immunoglobulin subtype 2', 'Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin I-set']"
OR2V2,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
NLRP7,"['IPR004020', 'IPR041267']","['DAPIN domain', 'NACHT, LRR and PYD domains-containing protein, helical domain HD2']"
ZBED9,"['IPR001584', 'IPR003309']","['Integrase, catalytic core', 'SCAN domain']"
NELFB,,
SCGB3A1,,
FKBP7,"['IPR001179', 'IPR002048']","['FKBP-type peptidyl-prolyl cis-trans isomerase domain', 'EF-hand domain']"
PURB,,
GAL3ST1,,
SELENOM,['IPR014912'],['Selenoprotein F/M domain']
METTL21EP,,
BTNL10,"['IPR007110', 'IPR013106']","['Immunoglobulin-like domain', 'Immunoglobulin V-set domain']"
OR6C68,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
SNX13,"['IPR001683', 'IPR003114', 'IPR037437', 'IPR037896']","['Phox homologous domain', 'Phox-associated domain', 'Sorting nexin-13, PX domain', 'SNX13, RGS domain']"
SNX14,"['IPR001683', 'IPR013937', 'IPR016137', 'IPR037436']","['Phox homologous domain', 'Sorting nexin, C-terminal', 'RGS domain', 'Sorting nexin-14, PX domain']"
MED10,,
LAIR1,"['IPR003599', 'IPR007110']","['Immunoglobulin subtype', 'Immunoglobulin-like domain']"
MUC12,"['IPR000082', 'IPR000742']","['SEA domain', 'EGF-like domain']"
SPATS1,,
SNX11,['IPR001683'],['Phox homologous domain']
ARL5A,['IPR005225'],['Small GTP-binding protein domain']
MYO15A,"['IPR000299', 'IPR000857', 'IPR001452', 'IPR001609', 'IPR019748', 'IPR019749', 'IPR036057', 'IPR041795']","['FERM domain', 'MyTH4 domain', 'SH3 domain', 'Myosin head, motor domain', 'FERM central domain', 'Band 4.1 domain', 'Class XV myosin, motor domain', 'Myosin-XV, FERM domain C-lobe']"
KLF2,['IPR013087'],['Zinc finger C2H2-type']
PRDM4,"['IPR001214', 'IPR013087', 'IPR041493']","['SET domain', 'Zinc finger C2H2-type', 'PRDM4, zinc knuckle motif']"
LRRC1,,
CD109,"['IPR001599', 'IPR002890', 'IPR009048', 'IPR011625', 'IPR011626', 'IPR041555', 'IPR041813']","['Alpha-2-macroglobulin', 'Macroglobulin domain', 'Alpha-macroglobulin, receptor-binding', 'Alpha-2-macroglobulin, bait region domain', 'Alpha-macroglobulin-like, TED domain', 'Macroglobulin domain MG3', 'Alpha-2-macroglobulin, TED domain']"
WIF1,"['IPR000742', 'IPR003306']","['EGF-like domain', 'WIF domain']"
ASB5,"['IPR000742', 'IPR003306']","['EGF-like domain', 'WIF domain']"
VGLL1,,
GTF3C4,"['IPR024761', 'IPR024764']","['Transcription factor IIIC, 90kDa subunit, N-terminal', 'Transcription factor IIIC, putative zinc-finger']"
ANP32E,,
VRK1,['IPR000719'],['Protein kinase domain']
SEMA3C,"['IPR001627', 'IPR003599', 'IPR007110', 'IPR013098', 'IPR016201']","['Sema domain', 'Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin I-set', 'PSI domain']"
FMO1,,
OMD,['IPR000372'],['Leucine-rich repeat N-terminal domain']
RASSF5,['IPR011524'],['SARAH domain']
KCNMB2,['IPR015382'],"['KCNMB2, ball/chain domain']"
SNX9,"['IPR001452', 'IPR001683', 'IPR019497', 'IPR035558', 'IPR037425', 'IPR037426']","['SH3 domain', 'Phox homologous domain', 'Sorting nexin protein, WASP-binding domain', 'SNX9, SH3 domain', 'Sorting nexin-9, BAR domain', 'Sorting nexin-9, PX domain']"
HEATR4,,
SNX10,['IPR001683'],['Phox homologous domain']
LHFPL6,,
SNX5,"['IPR001683', 'IPR015404', 'IPR042135']","['Phox homologous domain', 'Sorting nexin Vps5-like, C-terminal', 'SNX5, PX domain']"
GMEB1,['IPR000770'],['SAND domain']
C19orf70,['IPR000770'],['SAND domain']
SNX8,"['IPR001683', 'IPR035704']","['Phox homologous domain', 'SNX8/Mvp1, PX domain']"
OR2M4,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
GAB3,['IPR001849'],['Pleckstrin homology domain']
GDF15,['IPR001839'],"['Transforming growth factor-beta, C-terminal']"
OR2M2,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
LIPG,"['IPR001024', 'IPR013818', 'IPR033906']","['PLAT/LH2 domain', 'Lipase/vitellogenin', 'Lipase, N-terminal']"
CACNG2,,
INTS6,['IPR029307'],"['INTS6/SAGE1/DDX26B/CT45, C-terminal']"
CIR1,['IPR029307'],"['INTS6/SAGE1/DDX26B/CT45, C-terminal']"
DSE,['IPR032518'],"['Heparinase II, N-terminal']"
NPFFR2,,
RPS19BP1,,
SLC22A7,['IPR020846'],['Major facilitator superfamily domain']
NR2E3,['IPR001628'],"['Zinc finger, nuclear hormone receptor-type']"
NFS1,['IPR000192'],['Aminotransferase class V domain']
CLIC4,['IPR010987'],"['Glutathione S-transferase, C-terminal-like']"
GALC,['IPR035394'],"['Glycosyl hydrolase family 59, central domain']"
CHRDL1,['IPR001007'],['VWFC domain']
NAGLU,"['IPR024240', 'IPR024732', 'IPR024733']","['Alpha-N-acetylglucosaminidase, N-terminal', 'Alpha-N-acetylglucosaminidase, C-terminal', 'Alpha-N-acetylglucosaminidase, tim-barrel domain']"
ALPK1,,
FCAMR,"['IPR003599', 'IPR007110', 'IPR013106']","['Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin V-set domain']"
RTN4IP1,"['IPR013154', 'IPR020843']","['Alcohol dehydrogenase, N-terminal', 'Polyketide synthase, enoylreductase domain']"
TEP1,"['IPR008858', 'IPR017986']","['TROVE domain', 'WD40-repeat-containing domain']"
CTPS1,"['IPR017456', 'IPR017926', 'IPR033828']","['CTP synthase, N-terminal', 'Glutamine amidotransferase', 'CTP synthase GATase domain']"
ENG,['IPR001507'],['Zona pellucida domain']
